Start              	End                	Duration	Filename                                                                        	Procnum

File : ./pro_inter_daily_20180507000000.log
2018-05-07 00:09:49	2018-05-07 00:09:53	       4	AZF_MSSBHQH_2AZFHUA1_b00125486.dat_DECODED_2770_HW_MSC_SMS_IDD_ROAMIN           	267 
2018-05-07 00:09:53	2018-05-07 00:09:58	       5	MSSBTC02_2_AP2b00225664-2-02.dat_DECODED_3469_NET_SMS                           	468 
2018-05-07 00:09:58	2018-05-07 00:10:02	       4	MSSBHQ01_2_AP2b00234177-1-02.dat_DECODED_8684_NET_SMS                           	363 
2018-05-07 00:10:02	2018-05-07 00:10:06	       4	AZF_MSSBHQH_3AZFHUA1_b00138772.dat_DECODED_2769_HW_MSC_SMS_IDD_ROAMIN           	236 
2018-05-07 00:10:06	2018-05-07 00:10:10	       4	MSSBHQH01_b01317678-1.dat_DECODED_8683_NET_SMS                                  	454 
2018-05-07 00:10:10	2018-05-07 00:10:14	       4	MSSBHQH03_2_AP2b00234343-3-02.dat_DECODED_2278_NET_SMS                          	359 
2018-05-07 00:10:14	2018-05-07 00:10:18	       4	MSSBHQH03_b01289187-3.dat_DECODED_2279_NET_SMS                                  	471 
2018-05-07 00:10:18	2018-05-07 00:10:22	       4	AZF_MSSBHQH_1AZFHUA2_AP2b00111831.dat_DECODED_2771_HW_MSC_SMS_IDD_ROAMIN        	248 
2018-05-07 00:10:22	2018-05-07 00:10:26	       4	MSSBHQ01_2_AP2b00234178-1-02.dat_DECODED_8686_NET_SMS                           	398 
2018-05-07 00:10:26	2018-05-07 00:10:31	       5	MSSBHQH01_b01317679-1.dat_DECODED_8685_NET_SMS                                  	466 
2018-05-07 00:10:31	2018-05-07 00:10:34	       3	MSSBHQH02_b01302014-2.dat_DECODED_3470_NET_SMS                                  	339 
2018-05-07 00:10:34	2018-05-07 00:10:39	       5	AZF_MSSBHQH_1AZFHUA1_b00141065.dat_DECODED_2772_HW_MSC_SMS_IDD_ROAMIN           	254 
2018-05-07 00:10:39	2018-05-07 00:10:44	       5	MSSBTC02_2_AP2b00225665-2-02.dat_DECODED_3471_NET_SMS                           	528 
2018-05-07 00:10:44	2018-05-07 00:10:48	       4	MSSBHQH03_2_AP2b00234344-3-02.dat_DECODED_2280_NET_SMS                          	381 
2018-05-07 00:10:48	2018-05-07 00:10:52	       4	MSSBHQH03_b01289188-3.dat_DECODED_2281_NET_SMS                                  	446 
2018-05-07 00:10:52	2018-05-07 00:10:57	       5	AZF_MSSBHQH_2AZFHUA2_AP2b00127275.dat_DECODED_2773_HW_MSC_SMS_IDD_ROAMIN        	264 
2018-05-07 00:10:57	2018-05-07 00:11:00	       3	MSSBHQ01_2_AP2b00234179-1-02.dat_DECODED_8688_NET_SMS                           	380 
2018-05-07 00:11:00	2018-05-07 00:11:04	       4	MSSBHQH02_b01302015-2.dat_DECODED_3472_NET_SMS                                  	372 
2018-05-07 00:11:04	2018-05-07 00:11:08	       4	AZF_MSSBHQH_3AZFHUA2_AP2b00109155.dat_DECODED_2774_HW_MSC_SMS_IDD_ROAMIN        	242 
2018-05-07 00:11:08	2018-05-07 00:11:12	       4	AZF_MSSBHQH_1AZFHUA1_b00141066.dat_DECODED_2777_HW_MSC_SMS_IDD_ROAMIN           	253 
2018-05-07 00:11:12	2018-05-07 00:11:16	       4	MSSBTC02_2_AP2b00225666-2-02.dat_DECODED_3473_NET_SMS                           	443 
2018-05-07 00:11:16	2018-05-07 00:11:21	       5	AZF_MSSBHQH_3AZFHUA1_b00138773.dat_DECODED_2775_HW_MSC_SMS_IDD_ROAMIN           	242 
2018-05-07 00:11:21	2018-05-07 00:11:25	       4	MSSBHQH01_b01317680-1.dat_DECODED_8687_NET_SMS                                  	470 
2018-05-07 00:11:25	2018-05-07 00:11:29	       4	AZF_MSSBHQH_2AZFHUA2_AP2b00127276.dat_DECODED_2778_HW_MSC_SMS_IDD_ROAMIN        	222 
2018-05-07 00:11:29	2018-05-07 00:11:33	       4	AZF_MSSBHQH_1AZFHUA2_AP2b00111832.dat_DECODED_2776_HW_MSC_SMS_IDD_ROAMIN        	249 
2018-05-07 00:11:33	2018-05-07 00:11:36	       3	MSSBHQH03_2_AP2b00234345-3-02.dat_DECODED_2282_NET_SMS                          	294 
2018-05-07 00:11:36	2018-05-07 00:11:41	       5	MSSBHQH01_b01317681-1.dat_DECODED_8689_NET_SMS                                  	451 
2018-05-07 00:11:41	2018-05-07 00:11:44	       3	MSSBHQH02_b01302016-2.dat_DECODED_3474_NET_SMS                                  	348 
2018-05-07 00:11:44	2018-05-07 00:11:48	       4	MSSBTC02_2_AP2b00225667-2-02.dat_DECODED_3475_NET_SMS                           	413 
2018-05-07 00:11:48	2018-05-07 00:11:53	       5	MSSBHQH03_b01289189-3.dat_DECODED_2283_NET_SMS                                  	475 
2018-05-07 00:11:53	2018-05-07 00:11:58	       5	MSSBHQH03_b01289190-3.dat_DECODED_2284_NET_SMS                                  	498 
2018-05-07 00:11:58	2018-05-07 00:12:02	       4	MSSBHQH02_b01302017-2.dat_DECODED_3476_NET_SMS                                  	350 
2018-05-07 00:12:02	2018-05-07 00:12:05	       3	AZF_MSSBHQH_3AZFHUA2_AP2b00109156.dat_DECODED_2779_HW_MSC_SMS_IDD_ROAMIN        	222 
2018-05-07 00:12:05	2018-05-07 00:12:09	       4	MSSBHQ01_2_AP2b00234180-1-02.dat_DECODED_8691_NET_SMS                           	348 
2018-05-07 00:12:09	2018-05-07 00:12:12	       3	AZF_MSSBHQH_2AZFHUA1_b00125487.dat_DECODED_2780_HW_MSC_SMS_IDD_ROAMIN           	256 
2018-05-07 00:12:12	2018-05-07 00:12:24	      12	CSVSM_vmcazbj12.bakcell.com_20180506175430Z.csv_n2_DECODED_6937_mco_xura_NET    	786 
2018-05-07 00:12:24	2018-05-07 00:12:27	       3	MSSBHQH01_b01317682-1.dat_DECODED_8690_NET_SMS                                  	379 
2018-05-07 00:12:27	2018-05-07 00:12:31	       4	AZF_MSSBHQH_1AZFHUA1_b00141067.dat_DECODED_2783_HW_MSC_SMS_IDD_ROAMIN           	209 
2018-05-07 00:12:31	2018-05-07 00:12:35	       4	AZF_MSSBHQH_3AZFHUA1_b00138774.dat_DECODED_2781_HW_MSC_SMS_IDD_ROAMIN           	251 
2018-05-07 00:12:35	2018-05-07 00:12:39	       4	MSSBTC02_2_AP2b00225668-2-02.dat_DECODED_3477_NET_SMS                           	453 
2018-05-07 00:12:39	2018-05-07 00:12:44	       5	AZF_MSSBHQH_1AZFHUA2_AP2b00111833.dat_DECODED_2782_HW_MSC_SMS_IDD_ROAMIN        	272 
2018-05-07 00:12:44	2018-05-07 00:12:47	       3	MSSBHQH03_2_AP2b00234346-3-02.dat_DECODED_2285_NET_SMS                          	321 
2018-05-07 00:12:47	2018-05-07 00:12:52	       5	MSSBHQH01_b01317683-1.dat_DECODED_8692_NET_SMS                                  	519 
2018-05-07 00:12:52	2018-05-07 00:12:57	       5	MSSBHQH03_b01289191-3.dat_DECODED_2286_NET_SMS                                  	473 
2018-05-07 00:12:57	2018-05-07 00:13:00	       3	MSSBHQH02_b01302018-2.dat_DECODED_3478_NET_SMS                                  	324 
2018-05-07 00:13:00	2018-05-07 00:13:04	       4	MSSBHQ01_2_AP2b00234181-1-02.dat_DECODED_8693_NET_SMS                           	385 
